"","place_of_residence","continent_of_birth","n","prop"
"1","Alberta","Africa",2234,0.105407190714353
"2","Alberta","Asia",11629,0.548693026328206
"3","Alberta","Europe",4577,0.215957346418798
"4","Alberta","North America",1817,0.0857318108898745
"5","Alberta","Oceania",189,0.00891761819382844
"6","Alberta","South America",748,0.0352930074549401
"7","British Columbia","Africa",928,0.0281075842015992
"8","British Columbia","Asia",20586,0.623515871092803
"9","British Columbia","Europe",8060,0.244124061061304
"10","British Columbia","North America",2130,0.064514174945481
"11","British Columbia","Oceania",787,0.0238369275502787
"12","British Columbia","South America",525,0.015901381148534
"13","Manitoba","Africa",375,0.0689845474613687
"14","Manitoba","Asia",3132,0.576158940397351
"15","Manitoba","Europe",1248,0.229580573951435
"16","Manitoba","North America",480,0.0883002207505519
"17","Manitoba","Oceania",3,0.000551876379690949
"18","Manitoba","South America",198,0.0364238410596026
"19","New Brunswick","Africa",24,0.0465116279069767
"20","New Brunswick","Asia",188,0.364341085271318
"21","New Brunswick","Europe",149,0.288759689922481
"22","New Brunswick","North America",150,0.290697674418605
"23","New Brunswick","South America",5,0.00968992248062015
"24","Newfoundland And Labrador","Africa",8,0.0481927710843374
"25","Newfoundland And Labrador","Asia",68,0.409638554216867
"26","Newfoundland And Labrador","Europe",66,0.397590361445783
"27","Newfoundland And Labrador","North America",24,0.144578313253012
"28","Northern Canada","Africa",7,0.0666666666666667
"29","Northern Canada","Asia",67,0.638095238095238
"30","Northern Canada","Europe",23,0.219047619047619
"31","Northern Canada","North America",8,0.0761904761904762
"32","Nova Scotia","Africa",41,0.0408366533864542
"33","Nova Scotia","Asia",371,0.369521912350598
"34","Nova Scotia","Europe",418,0.416334661354582
"35","Nova Scotia","North America",167,0.166334661354582
"36","Nova Scotia","Oceania",1,0.00099601593625498
"37","Nova Scotia","South America",6,0.00597609561752988
"38","Ontario","Africa",5540,0.0559703377415868
"39","Ontario","Asia",48776,0.492781442903183
"40","Ontario","Europe",29388,0.296905466705731
"41","Ontario","North America",10346,0.104525110879866
"42","Ontario","Oceania",174,0.00175791313484406
"43","Ontario","South America",4757,0.0480597286347885
"44","Prince Edward Island","Africa",1,0.00826446280991736
"45","Prince Edward Island","Asia",65,0.537190082644628
"46","Prince Edward Island","Europe",39,0.322314049586777
"47","Prince Edward Island","North America",16,0.132231404958678
"48","Quebec","Africa",6330,0.227615965480043
"49","Quebec","Asia",7392,0.265803667745415
"50","Quebec","Europe",7768,0.279323984178353
"51","Quebec","North America",4473,0.16084142394822
"52","Quebec","Oceania",13,0.000467457749011147
"53","Quebec","South America",1834,0.0659475008989572
"54","Saskatchewan","Africa",195,0.0810473815461347
"55","Saskatchewan","Asia",1621,0.673732335827099
"56","Saskatchewan","Europe",438,0.182044887780549
"57","Saskatchewan","North America",128,0.0532003325020781
"58","Saskatchewan","Oceania",1,0.000415627597672485
"59","Saskatchewan","South America",23,0.00955943474646717
