"","place_of_residence","n","prop"
"1","Ontario",98981,0.518890723703179
"2","British Columbia",33016,0.173080653193887
"3","Quebec",27810,0.145789101203114
"4","Alberta",21194,0.111105868784567
"5","Manitoba",5436,0.0284972870960132
"6","Saskatchewan",2406,0.0126130376661162
"7","Nova Scotia",1004,0.00526329585069854
"8","New Brunswick",516,0.00270504049697256
"9","Newfoundland And Labrador",166,0.000870226206390396
"10","Prince Edward Island",121,0.000634321511886975
"11","Northern Canada",105,0.000550444287174648
